date,sales
2023-01-01,120
2023-01-02,125
2023-01-03,130
2023-01-04,128
2023-01-05,132
2023-01-06,134
2023-01-07,140
2023-01-08,138
2023-01-09,145
2023-01-10,142
2023-01-11,148
2023-01-12,149
2023-01-13,150
2023-01-14,152
2023-01-15,154
2023-01-16,153
2023-01-17,156
2023-01-18,158
2023-01-19,157
2023-01-20,160
2023-01-21,162
2023-01-22,165
2023-01-23,167
2023-01-24,170
2023-01-25,172
2023-01-26,175
2023-01-27,178
2023-01-28,177
2023-01-29,180
2023-01-30,183
2023-01-31,185
2023-02-01,188
2023-02-02,190
2023-02-03,193
2023-02-04,195
2023-02-05,198
2023-02-06,200
2023-02-07,203
2023-02-08,205
2023-02-09,208
2023-02-10,210
2023-02-11,212
2023-02-12,215
2023-02-13,217
2023-02-14,220
2023-02-15,223
2023-02-16,225
2023-02-17,228
2023-02-18,230
2023-02-19,233
2023-02-20,235
2023-02-21,238
2023-02-22,240
2023-02-23,243
2023-02-24,245
2023-02-25,248
2023-02-26,250
2023-02-27,253
2023-02-28,255
2023-03-01,258
2023-03-02,260
2023-03-03,263
2023-03-04,265
2023-03-05,268
2023-03-06,270
2023-03-07,273
2023-03-08,275
2023-03-09,278
2023-03-10,280
2023-03-11,283
2023-03-12,285
2023-03-13,288
2023-03-14,290
2023-03-15,293
2023-03-16,295
2023-03-17,298
2023-03-18,300
2023-03-19,303
2023-03-20,305
2023-03-21,308
2023-03-22,310
2023-03-23,313
2023-03-24,315
2023-03-25,318
2023-03-26,320
2023-03-27,323
2023-03-28,325
2023-03-29,328
2023-03-30,330
2023-03-31,333
2023-04-01,335
2023-04-02,338
2023-04-03,340
2023-04-04,343
2023-04-05,345
2023-04-06,348
2023-04-07,350
2023-04-08,353
2023-04-09,355
2023-04-10,358
2023-04-11,360
2023-04-12,363
2023-04-13,365
2023-04-14,368
2023-04-15,370
2023-04-16,373
2023-04-17,375
2023-04-18,378
2023-04-19,380
2023-04-20,383
2023-04-21,385
2023-04-22,388
2023-04-23,390
2023-04-24,393
2023-04-25,395
2023-04-26,398
2023-04-27,400
2023-04-28,403
2023-04-29,405
2023-04-30,408
